suites;device_type;operating_system;application;browser
0x0004,0x0005,0x0008,0x0009,0x000a,0x002f;;;Browser;Safari
0x0004,0x0005,0x000a,0x0009,0x0064,0x0062,0x0003,0x0006;Desktop;Windows;Browser;MSIE
0x0004,0x0005,0x002f,0x0033,0x0032,0x000a,0x0016,0x0013;Mobile;Android;;
0x0004,0x0005,0x002f,0x0035,0xc002,0xc004,0xc005,0xc00c;Mobile;Android;Browser;Safari
0x0004,0x0005,0x002f,0x0035,0xc002,0xc004,0xc005,0xc00c;Mobile;Android;;
0x0004,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;;;Browser;Opera
0x0005,0x0004;;;Application;
0x0005,0x0004,0x0002,0x0008,0x0014,0x0003,0x0001,0x0015;Desktop;Windows;Browser;Safari
0x0005,0x0004,0x002f,0x0035;;;Application;
0x0005,0x0004,0x002f,0x0035,0x0009;Mobile;Android;;
0x0005,0x0004,0x0039,0x0035,0x0033,0x002f,0x0016,0x000a;;;Browser;Chrome
0x0005,0x0004,0x009c;Mobile;Android;;
0x0005,0x000a;Desktop;Linux;Browser;Opera
0x0005,0x000a,0x0013,0x0004,0x00ff;;;;
0x0005,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;Mobile;Android;;
0x0005,0xc014,0xc00a,0x0039,0x0038,0x0088,0x0087,0xc019;Desktop;Windows;Browser;MSIE
0x000a,0x0005;Desktop;Linux;Browser;Opera
0x000a,0x0005,0x0004,0x0009,0x0003,0x0008;Desktop;Mac OS X;Application;
0x000a,0x0013,0x0005,0x0004,0x00ff;;;;
0x000a,0x0039,0x0038,0x0037,0x0036,0x0035,0x0033,0x0032;Desktop;Windows;Browser;Opera
0x000a,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;;;Browser;Opera
0x002f,0x0005,0x0004,0x0035,0x000a,0x0009,0x0003,0x0008;;;Browser;Safari
0x002f,0x0005,0x0004,0x0035,0x000a,0x0032,0x0033,0x0038;Desktop;Mac OS X;Browser;Safari
0x002f,0x0005,0x0035,0x0004;Mobile;Android;Application;
0x002f,0x0033,0x0032,0x0034;Mobile;iOS;Browser;Safari
0x002f,0x0035,0x0004,0x0005,0x000a,0x0009,0x0064,0x0062;Desktop;Windows;Browser;Firefox
0x002f,0x0035,0x0005,0x000a,0xc009,0xc00a,0xc013,0xc014;Desktop;Windows;Browser;MSIE
0x002f,0x0035,0x0005,0x000a,0xc013,0xc014,0xc009,0xc00a;;;Browser;
0x002f,0x0035,0x000a,0x0005,0x0004,0x00ff;;;Browser;Firefox
0x002f,0x0035,0x0033,0x0039,0x0032,0x0038,0x000a,0x0016;Mobile;Android;;
0x002f,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;;;Update;
0x0032,0x0038,0x0044,0x0087,0x0033,0x0039,0x0045,0x0088;Desktop;Windows;Browser;MSIE
0x0033,0x0016,0x0039,0x002f,0x000a,0x0035,0x0005,0x0004;;;Command line;Lynx
0x0033,0x0032,0x002f,0x0039,0x0038,0x0035,0x0005,0x0004;;;Browser;BlackBerry
0x0033,0x0032,0x0039,0x002f,0x0035,0x000a,0x0005,0x0004;Desktop;;Browser;
0x0033,0x0032,0x0039,0x0038,0x0016,0x0013,0x002f,0x0035;Desktop;Linux;Command line;Curl
0x0033,0x0032,0x0039,0x0038,0x0016,0x0013,0x0066,0x002f;Desktop;Linux;Browser;Firefox
0x0033,0x0039,0x0016,0x0032,0x0038,0x0013,0x002f,0x0035;Desktop;Linux;Browser;Safari
0x0033,0x0039,0x0045,0x0088,0x0016,0x0035,0x0084,0x002f;;;Update;
0x0033,0x0067,0x0039,0x006b,0x0016,0x0032,0x0040,0x0038;;;Browser;Firefox
0x0033,0x0067,0x0045,0x0039,0x006b,0x0088,0x0016,0x0032;;;Browser;Safari
0x0033,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;;;Browser;Opera
0x0035,0x000a,0x002f,0x0005,0x0004,0x0009,0x0008,0x0006;;;Browser;Firefox
0x0035,0x002f,0x0005,0x0004,0x000a,0x00ff;;;Browser;Chrome
0x0035,0x002f,0x000a,0x0005,0x0004;Desktop;Windows;Browser;MSIE
0x0035,0x002f,0x000a,0x0005,0x0004,0x0009,0x0003,0x0006;Desktop;Linux;Browser;Firefox
0x0035,0x002f,0x000a,0x0016,0x0013,0x0005,0x0004,0x0009;;;Browser;Safari
0x0035,0x002f,0x0038,0x0032,0x000a,0x0013,0x0005,0x0004;Windows;Browser;MSIE
0x0035,0x002f,0x00ff;Mobile;Android;;
0x0035,0x0039,0x0038,0x0037,0x0036,0x0033,0x0032,0x0031;Desktop;Windows;Browser;Opera
0x0035,0x006b,0x006a,0x0069,0x0068,0x003d,0x0039,0x0038;;;Browser;Opera
0x0035,0xc013,0xc009,0xc014,0xc00a,0x0033,0x0039,0x0032;Mobile;Android;Browser;Chrome
0x0039,0x0033,0x0005,0x00ff;Mobile;Android;;
0x0039,0x0033,0x0016,0x0013,0x0035,0x002f,0x000a,0x00ff;;;Application;
0x0039,0x0033,0x0035,0x002f,0x0005,0x0004,0x000a,0x00fb;;;Browser;Firefox
0x0039,0x0033,0x0035,0x002f,0x0005,0x0004,0x000a,0x00fc;Mobile;Android;;
0x0039,0x0035,0x0016,0x000a,0x0033,0x002f,0x0005,0x0004;;;Update;
0x0039,0x0035,0x0033,0x009a,0x002f,0x0096,0x0005,0x0004;Desktop;Mac OS X;;
